                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79801,                0.97679,                 1.1429,                0.68298,                0.55866,                0.59481,                0.40803,                 1.1573,                 1.3318,                 1.4006,             0.00013793,             0.00013793,             0.00013793
                      2,                 0.8225,                0.98946,                 1.1517,                0.67448,                0.54638,                0.59088,                0.39935,                 1.2009,                 1.3861,                 1.4296,             0.00027419,             0.00027419,             0.00027419
                      3,                0.84155,                 1.0136,                  1.171,                0.66567,                 0.5198,                0.56651,                0.37881,                 1.2061,                 1.5178,                 1.4402,              0.0004077,              0.0004077,              0.0004077
                      4,                0.85821,                 1.0456,                  1.178,                0.65318,                0.51948,                0.55566,                0.36307,                 1.2422,                 1.5123,                 1.4693,             0.00040462,             0.00040462,             0.00040462
                      5,                0.86146,                 1.0497,                 1.1786,                0.65661,                0.52508,                0.56705,                0.37345,                 1.2279,                 1.4764,                 1.4513,             0.00040049,             0.00040049,             0.00040049
                      6,                0.85649,                  1.018,                 1.1724,                0.64359,                0.53482,                0.56801,                0.37783,                 1.2307,                 1.4731,                 1.4408,             0.00039636,             0.00039636,             0.00039636
                      7,                0.86367,                 1.0486,                 1.1797,                0.65479,                0.52822,                0.56072,                0.37577,                 1.2114,                 1.4647,                  1.447,             0.00039223,             0.00039223,             0.00039223
                      8,                0.85556,                 1.0136,                 1.1715,                0.65407,                0.53161,                0.56623,                0.37749,                 1.2166,                 1.4585,                 1.4358,              0.0003881,              0.0003881,              0.0003881
                      9,                0.83309,                0.99105,                 1.1625,                0.65716,                0.53439,                0.57597,                0.38171,                 1.2276,                 1.4363,                 1.4505,             0.00038397,             0.00038397,             0.00038397
                     10,                0.83872,                0.97927,                 1.1604,                0.66373,                0.53713,                0.57723,                0.38205,                 1.2236,                 1.4309,                 1.4495,             0.00037985,             0.00037985,             0.00037985
                     11,                0.81407,                0.96595,                 1.1553,                0.66023,                0.53465,                0.56967,                0.38379,                 1.1943,                 1.4334,                 1.4102,             0.00037572,             0.00037572,             0.00037572
                     12,                  0.818,                0.95707,                   1.15,                0.64627,                0.53317,                0.57574,                0.38431,                 1.2033,                 1.4246,                 1.4431,             0.00037159,             0.00037159,             0.00037159
                     13,                0.81468,                0.94711,                 1.1513,                 0.6812,                0.53126,                 0.5775,                0.38959,                 1.2081,                 1.4773,                  1.421,             0.00036746,             0.00036746,             0.00036746
                     14,                0.81381,                0.92276,                 1.1509,                0.66658,                0.53049,                0.56785,                0.38077,                 1.2124,                 1.4388,                 1.4284,             0.00036333,             0.00036333,             0.00036333
                     15,                0.81544,                0.93981,                 1.1488,                0.67794,                0.52074,                0.56747,                0.38399,                  1.212,                 1.5155,                 1.4498,              0.0003592,              0.0003592,              0.0003592
                     16,                 0.8018,                0.91645,                 1.1416,                0.67746,                0.50627,                0.56258,                0.37356,                 1.2381,                 1.5066,                 1.4746,             0.00035508,             0.00035508,             0.00035508
                     17,                0.79346,                0.89511,                 1.1346,                0.66572,                0.52336,                0.55876,                0.37354,                 1.2242,                  1.514,                  1.467,             0.00035095,             0.00035095,             0.00035095
                     18,                0.79043,                0.89579,                 1.1301,                0.67329,                0.53174,                0.58324,                0.39933,                 1.1931,                 1.5062,                 1.4203,             0.00034682,             0.00034682,             0.00034682
                     19,                0.79834,                0.88422,                   1.13,                0.66122,                0.53177,                0.56619,                0.38237,                 1.2025,                 1.4802,                 1.4347,             0.00034269,             0.00034269,             0.00034269
                     20,                0.78811,                0.87741,                 1.1286,                0.68722,                0.53774,                0.58656,                0.39468,                 1.1951,                 1.4093,                 1.4274,             0.00033856,             0.00033856,             0.00033856
                     21,                0.77882,                0.84734,                 1.1189,                0.67176,                0.52447,                0.56853,                0.37629,                 1.2452,                 1.5348,                 1.4834,             0.00033443,             0.00033443,             0.00033443
                     22,                0.78322,                  0.866,                 1.1163,                0.69406,                0.52656,                0.58184,                 0.3948,                 1.1934,                 1.4761,                 1.4362,             0.00033031,             0.00033031,             0.00033031
                     23,                0.77767,                0.84484,                 1.1235,                0.67391,                 0.5407,                0.58584,                0.39233,                 1.2107,                 1.4705,                  1.447,             0.00032618,             0.00032618,             0.00032618
                     24,                0.77248,                0.85318,                 1.1265,                0.66159,                0.52536,                0.56039,                0.37765,                 1.2113,                 1.5232,                 1.4543,             0.00032205,             0.00032205,             0.00032205
                     25,                0.76929,                0.83753,                 1.1196,                0.68318,                0.54044,                 0.5896,                0.40154,                 1.1962,                 1.4459,                  1.422,             0.00031792,             0.00031792,             0.00031792
                     26,                0.75331,                0.83393,                 1.1126,                0.65784,                0.53232,                 0.5759,                0.38834,                  1.212,                 1.5081,                 1.4501,             0.00031379,             0.00031379,             0.00031379
                     27,                0.76162,                0.83669,                 1.1146,                0.66175,                0.52856,                0.56721,                0.38249,                 1.2214,                 1.5201,                 1.4652,             0.00030966,             0.00030966,             0.00030966
                     28,                0.75346,                0.82822,                  1.113,                0.68039,                0.53447,                0.57712,                0.39046,                 1.1995,                 1.4411,                 1.4435,             0.00030554,             0.00030554,             0.00030554
                     29,                0.74874,                0.81388,                 1.1035,                0.67024,                0.52701,                0.56838,                0.37935,                  1.228,                 1.4877,                 1.4772,             0.00030141,             0.00030141,             0.00030141
                     30,                0.75901,                0.82681,                  1.111,                0.67883,                 0.5206,                0.57211,                0.38642,                 1.2081,                 1.4955,                 1.4415,             0.00029728,             0.00029728,             0.00029728
                     31,                0.73244,                0.79616,                 1.0981,                0.66381,                0.52074,                0.56684,                0.37429,                 1.2402,                 1.5056,                 1.4917,             0.00029315,             0.00029315,             0.00029315
                     32,                0.75018,                0.80199,                 1.1086,                0.68779,                0.53246,                0.58286,                0.39755,                 1.1935,                 1.4591,                 1.4356,             0.00028902,             0.00028902,             0.00028902
                     33,                0.73315,                 0.7933,                 1.0978,                 0.6882,                0.54545,                0.58985,                0.39806,                 1.1979,                 1.4518,                 1.4464,             0.00028489,             0.00028489,             0.00028489
                     34,                0.73017,                0.77514,                 1.0919,                0.67398,                0.54057,                0.58377,                0.39715,                 1.1965,                 1.4702,                 1.4508,             0.00028077,             0.00028077,             0.00028077
                     35,                0.72493,                0.76963,                 1.0935,                0.68932,                  0.539,                0.58294,                0.39507,                 1.1984,                 1.5101,                 1.4456,             0.00027664,             0.00027664,             0.00027664
                     36,                 0.7295,                0.75161,                 1.0877,                0.68461,                0.52849,                 0.5745,                0.38606,                 1.2246,                 1.5443,                  1.478,             0.00027251,             0.00027251,             0.00027251
                     37,                0.73029,                0.76633,                 1.0917,                0.68346,                0.53176,                0.58356,                0.39693,                 1.1862,                 1.4217,                 1.4266,             0.00026838,             0.00026838,             0.00026838
                     38,                 0.7106,                0.74679,                 1.0806,                0.67496,                0.53428,                0.57581,                0.38884,                 1.1932,                 1.4487,                 1.4428,             0.00026425,             0.00026425,             0.00026425
                     39,                 0.7233,                  0.742,                 1.0841,                0.65706,                0.53739,                0.57113,                0.38802,                 1.2059,                   1.52,                 1.4658,             0.00026012,             0.00026012,             0.00026012
                     40,                 0.7247,                 0.7595,                 1.0881,                0.67718,                0.53092,                0.57484,                0.39464,                 1.1999,                 1.5095,                 1.4492,               0.000256,               0.000256,               0.000256
                     41,                0.71067,                0.74249,                 1.0812,                0.68228,                0.53323,                0.58198,                0.39736,                 1.1952,                 1.5364,                 1.4535,             0.00025187,             0.00025187,             0.00025187
                     42,                0.71422,                0.73802,                   1.08,                0.67242,                0.54292,                0.57815,                0.39378,                 1.2127,                  1.506,                 1.4606,             0.00024774,             0.00024774,             0.00024774
                     43,                0.71146,                0.73242,                 1.0822,                0.68458,                0.54289,                0.57932,                0.39532,                 1.1972,                 1.4871,                 1.4482,             0.00024361,             0.00024361,             0.00024361
                     44,                0.70238,                0.72668,                 1.0728,                 0.6888,                0.54129,                0.58913,                0.40067,                 1.1904,                 1.4595,                 1.4404,             0.00023948,             0.00023948,             0.00023948
                     45,                0.69147,                 0.7155,                 1.0751,                0.68802,                0.54634,                0.59619,                0.40788,                 1.1982,                  1.485,                 1.4448,             0.00023535,             0.00023535,             0.00023535
                     46,                0.70054,                0.73357,                 1.0755,                0.69033,                0.52385,                0.57598,                0.39529,                 1.1993,                 1.5447,                 1.4495,             0.00023123,             0.00023123,             0.00023123
                     47,                0.69843,                0.72007,                 1.0723,                0.67564,                0.54253,                0.58615,                0.40518,                 1.1831,                  1.497,                  1.439,              0.0002271,              0.0002271,              0.0002271
                     48,                0.68382,                0.69628,                 1.0649,                0.67738,                0.54246,                  0.582,                0.39518,                 1.1968,                 1.4768,                 1.4486,             0.00022297,             0.00022297,             0.00022297
                     49,                0.69181,                0.70252,                 1.0693,                0.68992,                0.53206,                0.58571,                0.40303,                 1.1898,                 1.4937,                 1.4436,             0.00021884,             0.00021884,             0.00021884
                     50,                0.69032,                0.68769,                 1.0683,                0.67997,                0.53237,                0.58592,                0.40646,                 1.1899,                 1.5422,                 1.4387,             0.00021471,             0.00021471,             0.00021471
                     51,                0.69651,                0.68742,                 1.0665,                0.69989,                  0.536,                0.58642,                0.40044,                 1.2041,                 1.4647,                 1.4594,             0.00021059,             0.00021059,             0.00021059
                     52,                0.68387,                0.68808,                 1.0587,                0.68629,                 0.5381,                0.58431,                0.40131,                 1.1887,                 1.4952,                 1.4482,             0.00020646,             0.00020646,             0.00020646
                     53,                 0.6681,                 0.6703,                 1.0533,                0.70174,                0.51936,                0.57873,                0.39884,                 1.2014,                  1.571,                 1.4677,             0.00020233,             0.00020233,             0.00020233
                     54,                0.68742,                0.68423,                  1.065,                0.68126,                0.52384,                0.57547,                0.39375,                 1.2015,                 1.5094,                 1.4667,              0.0001982,              0.0001982,              0.0001982
                     55,                 0.6846,                0.67447,                 1.0622,                0.67728,                0.54564,                0.58506,                0.40375,                  1.193,                 1.4784,                 1.4611,             0.00019407,             0.00019407,             0.00019407
                     56,                0.66471,                0.67047,                 1.0598,                0.70129,                0.53282,                0.58711,                0.40588,                 1.1915,                 1.5054,                 1.4553,             0.00018994,             0.00018994,             0.00018994
                     57,                0.66665,                0.65864,                 1.0553,                0.70537,                0.53116,                0.58442,                0.40142,                 1.2086,                 1.5029,                 1.4668,             0.00018582,             0.00018582,             0.00018582
                     58,                0.67254,                 0.6633,                 1.0522,                0.69209,                0.53432,                0.58457,                0.40445,                 1.1969,                   1.55,                 1.4554,             0.00018169,             0.00018169,             0.00018169
                     59,                0.65829,                0.65055,                 1.0462,                0.69216,                 0.5408,                0.58904,                 0.4072,                 1.1916,                 1.4792,                 1.4544,             0.00017756,             0.00017756,             0.00017756
                     60,                0.64929,                0.64838,                 1.0495,                0.69989,                 0.5417,                0.59789,                0.41321,                 1.1747,                 1.4447,                 1.4426,             0.00017343,             0.00017343,             0.00017343
                     61,                0.64607,                 0.6433,                 1.0455,                0.69488,                0.52974,                0.58558,                0.40327,                 1.1921,                 1.5322,                 1.4618,              0.0001693,              0.0001693,              0.0001693
                     62,                0.66325,                 0.6498,                 1.0496,                0.71587,                0.53248,                0.59167,                0.40775,                  1.198,                 1.5111,                 1.4593,             0.00016517,             0.00016517,             0.00016517
                     63,                0.66062,                 0.6415,                 1.0485,                0.69855,                0.53331,                0.58757,                0.40616,                 1.1968,                 1.5608,                 1.4745,             0.00016105,             0.00016105,             0.00016105
                     64,                0.63554,                0.63923,                 1.0417,                0.69393,                0.54308,                0.59669,                 0.4131,                 1.1781,                 1.4969,                 1.4396,             0.00015692,             0.00015692,             0.00015692
                     65,                0.64712,                0.62707,                 1.0409,                0.70401,                0.54009,                0.59412,                0.40978,                 1.1931,                 1.5286,                 1.4629,             0.00015279,             0.00015279,             0.00015279
                     66,                0.64025,                0.63378,                 1.0428,                0.69516,                0.54666,                0.59193,                0.40565,                  1.203,                 1.4882,                 1.4654,             0.00014866,             0.00014866,             0.00014866
                     67,                0.63929,                0.62875,                 1.0435,                0.70136,                 0.5301,                0.58566,                0.40382,                 1.1947,                 1.5384,                 1.4693,             0.00014453,             0.00014453,             0.00014453
                     68,                0.64377,                0.62719,                 1.0438,                0.69366,                0.54122,                0.59045,                0.40667,                 1.1965,                 1.5291,                 1.4683,              0.0001404,              0.0001404,              0.0001404
                     69,                0.63556,                0.62136,                 1.0365,                0.70004,                0.53971,                0.59324,                0.41116,                 1.1896,                 1.5364,                 1.4612,             0.00013628,             0.00013628,             0.00013628
                     70,                0.64272,                0.62323,                 1.0344,                0.68696,                0.54582,                0.59311,                 0.4097,                 1.1888,                  1.534,                 1.4604,             0.00013215,             0.00013215,             0.00013215
                     71,                0.62673,                0.60324,                 1.0328,                0.70691,                0.53916,                0.59287,                0.41333,                 1.1884,                 1.5984,                  1.457,             0.00012802,             0.00012802,             0.00012802
                     72,                0.62505,                0.60014,                 1.0237,                0.70303,                0.54144,                0.59354,                0.41128,                 1.1842,                  1.522,                 1.4539,             0.00012389,             0.00012389,             0.00012389
                     73,                0.62807,                0.60463,                 1.0301,                0.69529,                0.54412,                0.59752,                0.41488,                 1.1869,                 1.5253,                 1.4494,             0.00011976,             0.00011976,             0.00011976
                     74,                0.63006,                0.61735,                  1.032,                0.69826,                0.54297,                0.59052,                0.40917,                 1.1927,                 1.5464,                 1.4663,             0.00011563,             0.00011563,             0.00011563
                     75,                0.62579,                0.60958,                 1.0353,                0.70186,                0.53702,                0.59374,                0.41286,                 1.1961,                 1.5499,                 1.4666,             0.00011151,             0.00011151,             0.00011151
                     76,                0.62247,                 0.5957,                 1.0272,                 0.7016,                0.53995,                0.59675,                0.41375,                 1.1955,                 1.5317,                 1.4695,             0.00010738,             0.00010738,             0.00010738
                     77,                0.62093,                0.58851,                 1.0241,                0.69337,                0.53633,                0.59082,                0.41026,                 1.1927,                 1.5456,                 1.4682,             0.00010325,             0.00010325,             0.00010325
                     78,                0.62011,                0.59282,                 1.0264,                0.70341,                0.53854,                0.59571,                0.41483,                  1.196,                 1.5577,                  1.465,             9.9121e-05,             9.9121e-05,             9.9121e-05
                     79,                0.61421,                0.57472,                 1.0254,                0.71813,                0.53764,                0.59663,                0.41583,                 1.1829,                 1.5263,                  1.462,             9.4993e-05,             9.4993e-05,             9.4993e-05
                     80,                0.61131,                0.58602,                 1.0222,                0.71182,                0.53383,                0.59134,                0.41024,                 1.1924,                 1.5584,                 1.4744,             9.0864e-05,             9.0864e-05,             9.0864e-05
                     81,                0.61166,                0.57134,                 1.0239,                0.68655,                 0.5449,                0.59271,                0.41365,                 1.1838,                 1.5677,                 1.4626,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     82,                0.61572,                0.58877,                 1.0216,                0.71019,                0.53738,                0.59175,                0.41176,                 1.1984,                 1.5873,                 1.4666,             8.2608e-05,             8.2608e-05,             8.2608e-05
                     83,                0.60427,                0.58405,                 1.0241,                0.69019,                0.54909,                0.59796,                0.41846,                 1.1777,                 1.5224,                 1.4479,             7.8479e-05,             7.8479e-05,             7.8479e-05
                     84,                0.60026,                0.56815,                 1.0161,                0.69545,                 0.5455,                0.59476,                0.41639,                 1.1839,                 1.5728,                 1.4592,             7.4351e-05,             7.4351e-05,             7.4351e-05
                     85,                0.59388,                0.55799,                 1.0165,                0.70865,                 0.5406,                0.59966,                0.42056,                 1.1801,                 1.5475,                   1.46,             7.0223e-05,             7.0223e-05,             7.0223e-05
                     86,                0.59769,                0.56737,                 1.0166,                 0.6913,                0.54224,                0.59529,                0.41628,                 1.1781,                 1.5829,                 1.4574,             6.6095e-05,             6.6095e-05,             6.6095e-05
                     87,                0.58839,                0.55216,                 1.0125,                0.71795,                0.53481,                0.59509,                0.41368,                 1.1915,                 1.5684,                 1.4658,             6.1966e-05,             6.1966e-05,             6.1966e-05
                     88,                0.60088,                0.56665,                 1.0176,                0.72107,                0.53991,                0.60237,                0.41989,                 1.1825,                 1.5492,                 1.4612,             5.7838e-05,             5.7838e-05,             5.7838e-05
                     89,                0.59359,                0.55619,                 1.0103,                0.70445,                0.54321,                0.59631,                0.41794,                 1.1817,                 1.5721,                 1.4589,              5.371e-05,              5.371e-05,              5.371e-05
                     90,                0.59835,                0.56456,                 1.0112,                0.71102,                0.53307,                 0.5915,                0.41346,                 1.1867,                 1.6073,                 1.4677,             4.9581e-05,             4.9581e-05,             4.9581e-05
                     91,                0.55578,                0.47419,                0.96971,                0.70213,                0.52651,                0.57946,                0.39784,                 1.2104,                 1.5168,                 1.5055,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     92,                0.53938,                0.42794,                0.95795,                0.71049,                0.52678,                0.58494,                 0.4051,                  1.202,                 1.5736,                 1.4922,             4.1325e-05,             4.1325e-05,             4.1325e-05
                     93,                 0.5269,                 0.4155,                0.95105,                0.70449,                 0.5363,                 0.5894,                0.40944,                 1.1923,                 1.5573,                 1.4856,             3.7196e-05,             3.7196e-05,             3.7196e-05
                     94,                0.51492,                0.40414,                0.94896,                0.72312,                0.53247,                0.59452,                0.41403,                 1.1894,                 1.5636,                 1.4784,             3.3068e-05,             3.3068e-05,             3.3068e-05
                     95,                0.51262,                0.40392,                0.94937,                0.72714,                0.52663,                0.59441,                0.41415,                 1.1882,                 1.5511,                 1.4837,              2.894e-05,              2.894e-05,              2.894e-05
                     96,                0.50389,                0.39577,                0.93752,                0.71699,                0.53243,                0.59654,                0.41728,                 1.1872,                 1.5646,                 1.4805,             2.4812e-05,             2.4812e-05,             2.4812e-05
                     97,                 0.5068,                0.39554,                0.93956,                 0.7226,                0.53405,                0.59896,                0.41959,                 1.1828,                 1.5474,                 1.4767,             2.0683e-05,             2.0683e-05,             2.0683e-05
                     98,                 0.5103,                0.39263,                0.93882,                0.73582,                0.52965,                0.59808,                0.41839,                 1.1833,                 1.5582,                 1.4756,             1.6555e-05,             1.6555e-05,             1.6555e-05
                     99,                0.50087,                0.38751,                0.94049,                0.73168,                 0.5255,                0.59596,                0.41669,                 1.1865,                 1.5688,                 1.4789,             1.2427e-05,             1.2427e-05,             1.2427e-05
                    100,                0.50301,                0.38669,                0.93331,                0.72127,                0.52945,                0.59483,                0.41566,                 1.1866,                 1.5808,                  1.479,             8.2983e-06,             8.2983e-06,             8.2983e-06
