                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0349,                 3.2085,                 1.2699,                0.64909,                0.55065,                0.58154,                0.41242,                 1.0009,                 1.8444,                 1.2349,             0.00013813,             0.00013813,             0.00013813
                      2,                  1.117,                  2.139,                  1.335,                0.60386,                0.55583,                0.56617,                0.37715,                 1.0845,                 1.8522,                 1.2991,             0.00027439,             0.00027439,             0.00027439
                      3,                 1.1499,                 2.0496,                 1.3606,                0.57271,                0.52071,                0.52408,                0.34869,                 1.1464,                 1.8408,                 1.3481,             0.00040789,             0.00040789,             0.00040789
                      4,                 1.1642,                 2.0048,                   1.37,                0.57099,                0.49759,                0.50226,                0.32389,                 1.1725,                 1.8563,                 1.3938,             0.00040462,             0.00040462,             0.00040462
                      5,                 1.1346,                 1.9115,                 1.3551,                0.58876,                 0.5021,                0.51291,                0.32854,                  1.214,                 1.8951,                 1.4372,             0.00040049,             0.00040049,             0.00040049
                      6,                 1.1297,                 1.8482,                 1.3513,                0.63723,                0.50876,                0.55983,                0.37131,                 1.1434,                 1.7148,                 1.3611,             0.00039636,             0.00039636,             0.00039636
                      7,                 1.1355,                 1.8102,                 1.3449,                0.62371,                0.50723,                0.53698,                0.35341,                 1.1724,                 1.7614,                   1.38,             0.00039223,             0.00039223,             0.00039223
                      8,                  1.099,                 1.7467,                 1.3271,                0.63828,                0.53927,                 0.5816,                0.38063,                 1.1491,                 1.6108,                 1.3712,              0.0003881,              0.0003881,              0.0003881
                      9,                 1.0911,                 1.6712,                  1.315,                0.65029,                0.53341,                  0.577,                0.37988,                 1.1453,                 1.6077,                 1.3592,             0.00038397,             0.00038397,             0.00038397
                     10,                 1.0907,                  1.658,                  1.311,                0.65157,                 0.5496,                0.58531,                0.38734,                 1.1523,                 1.5612,                 1.3637,             0.00037985,             0.00037985,             0.00037985
                     11,                 1.0693,                 1.5829,                 1.2946,                0.63788,                0.54224,                0.56752,                0.37486,                 1.1404,                 1.5814,                 1.3556,             0.00037572,             0.00037572,             0.00037572
                     12,                 1.0664,                 1.5406,                  1.293,                0.66677,                0.55857,                0.59576,                0.39486,                 1.1669,                 1.4906,                 1.3724,             0.00037159,             0.00037159,             0.00037159
                     13,                 1.0693,                 1.5362,                 1.2948,                0.68523,                0.55767,                 0.6094,                0.41431,                 1.1194,                 1.4593,                 1.3323,             0.00036746,             0.00036746,             0.00036746
                     14,                 1.0548,                 1.5099,                 1.2928,                0.66404,                0.54758,                0.59457,                0.39456,                 1.1534,                 1.4915,                  1.357,             0.00036333,             0.00036333,             0.00036333
                     15,                  1.049,                 1.4917,                 1.2863,                0.65018,                0.56369,                0.60234,                0.40851,                 1.1236,                 1.4709,                 1.3376,              0.0003592,              0.0003592,              0.0003592
                     16,                 1.0454,                 1.4632,                 1.2783,                0.65633,                0.55415,                0.59228,                0.39746,                 1.1232,                 1.4967,                 1.3421,             0.00035508,             0.00035508,             0.00035508
                     17,                 1.0344,                 1.4253,                 1.2751,                 0.6882,                0.55938,                0.60934,                0.41571,                 1.1363,                 1.4646,                 1.3449,             0.00035095,             0.00035095,             0.00035095
                     18,                 1.0077,                 1.3966,                 1.2547,                0.68125,                0.56416,                  0.614,                0.42244,                 1.1026,                 1.4283,                  1.317,             0.00034682,             0.00034682,             0.00034682
                     19,                 1.0113,                 1.3712,                 1.2524,                0.66198,                0.55905,                0.60045,                0.40314,                 1.1445,                 1.4599,                 1.3549,             0.00034269,             0.00034269,             0.00034269
                     20,                 1.0045,                 1.3445,                 1.2509,                0.66421,                0.55405,                0.59876,                0.39812,                 1.1569,                 1.4639,                 1.3587,             0.00033856,             0.00033856,             0.00033856
                     21,                 1.0037,                 1.3222,                 1.2573,                0.69858,                0.56002,                0.61413,                0.41541,                 1.1155,                 1.4345,                 1.3356,             0.00033443,             0.00033443,             0.00033443
                     22,                 1.0026,                 1.2982,                 1.2464,                0.67641,                0.56379,                0.60902,                0.40858,                 1.1344,                 1.4344,                 1.3436,             0.00033031,             0.00033031,             0.00033031
                     23,                0.99523,                 1.2746,                 1.2401,                0.68947,                0.56229,                0.61606,                0.41621,                 1.1315,                 1.3979,                 1.3451,             0.00032618,             0.00032618,             0.00032618
                     24,                0.99702,                 1.2596,                 1.2379,                0.70651,                0.56169,                0.62016,                0.42311,                 1.1247,                 1.3914,                 1.3438,             0.00032205,             0.00032205,             0.00032205
                     25,                0.97451,                 1.2696,                 1.2319,                0.69998,                0.57288,                0.63446,                0.43413,                 1.1311,                 1.3598,                 1.3431,             0.00031792,             0.00031792,             0.00031792
                     26,                0.96993,                 1.2242,                 1.2257,                0.68388,                0.57408,                 0.6291,                0.43154,                 1.1202,                 1.3595,                 1.3295,             0.00031379,             0.00031379,             0.00031379
                     27,                0.97895,                 1.2303,                 1.2371,                0.68982,                0.57269,                0.61864,                0.42074,                 1.1185,                 1.3669,                 1.3344,             0.00030966,             0.00030966,             0.00030966
                     28,                   0.97,                  1.203,                 1.2186,                0.71453,                0.56377,                0.62915,                0.43042,                  1.125,                 1.3504,                 1.3387,             0.00030554,             0.00030554,             0.00030554
                     29,                0.94906,                 1.1867,                 1.2177,                0.70507,                0.58362,                0.64197,                0.43655,                  1.124,                  1.325,                 1.3364,             0.00030141,             0.00030141,             0.00030141
                     30,                0.94565,                 1.1691,                 1.2059,                0.69792,                0.58466,                0.63407,                0.43555,                 1.1181,                 1.3389,                 1.3334,             0.00029728,             0.00029728,             0.00029728
                     31,                0.94924,                  1.142,                 1.2028,                0.71069,                0.57861,                0.63152,                0.42811,                  1.127,                   1.33,                  1.348,             0.00029315,             0.00029315,             0.00029315
                     32,                0.94998,                 1.1592,                 1.2083,                0.71581,                0.56725,                0.62917,                0.43279,                  1.121,                 1.3488,                 1.3266,             0.00028902,             0.00028902,             0.00028902
                     33,                0.93919,                 1.1315,                 1.2063,                0.70311,                0.57796,                0.62754,                0.43088,                 1.1205,                 1.3309,                 1.3313,             0.00028489,             0.00028489,             0.00028489
                     34,                0.93681,                  1.115,                 1.1946,                0.69049,                0.58273,                0.62474,                0.42506,                 1.1239,                 1.3255,                 1.3467,             0.00028077,             0.00028077,             0.00028077
                     35,                0.92883,                  1.114,                 1.1945,                0.72539,                 0.5757,                0.64166,                0.43929,                  1.112,                   1.31,                 1.3209,             0.00027664,             0.00027664,             0.00027664
