                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97546,                 3.9399,                 1.2166,                0.18941,                0.07708,                0.12457,                0.10438,                0.80104,                  3.811,                 1.0654,             0.00013503,             0.00013503,             0.00013503
                      2,                 1.0338,                 3.1035,                 1.2768,                0.82391,                0.16762,                0.37529,                0.27114,                 1.0076,                 2.9564,                  1.229,             0.00027132,             0.00027132,             0.00027132
                      3,                 1.0761,                  2.472,                 1.2991,                0.52801,                0.43147,                0.43468,                 0.2748,                 1.2103,                 2.1709,                 1.4144,             0.00040485,             0.00040485,             0.00040485
                      4,                 1.1212,                 2.1602,                 1.3241,                0.58366,                0.45051,                0.43253,                0.27342,                 1.1832,                 2.0264,                 1.3995,             0.00040462,             0.00040462,             0.00040462
                      5,                 1.1255,                 2.0242,                 1.3405,                0.56053,                0.49845,                0.45477,                0.28423,                 1.1647,                 1.8486,                  1.375,             0.00040049,             0.00040049,             0.00040049
                      6,                 1.1045,                 1.9515,                 1.2975,                0.56258,                0.48818,                0.44772,                0.28445,                 1.1778,                 2.0031,                 1.3903,             0.00039636,             0.00039636,             0.00039636
                      7,                 1.0891,                 1.8802,                 1.2816,                0.54083,                0.48915,                0.44211,                0.27661,                 1.1753,                 1.8204,                 1.3742,             0.00039223,             0.00039223,             0.00039223
                      8,                 1.0418,                 1.7231,                 1.2566,                0.61495,                0.48138,                0.49348,                0.31176,                 1.2047,                  1.789,                  1.397,              0.0003881,              0.0003881,              0.0003881
                      9,                 1.0289,                 1.7624,                 1.2757,                0.58805,                 0.4898,                0.48886,                0.30932,                   1.22,                 1.8111,                 1.4124,             0.00038397,             0.00038397,             0.00038397
                     10,                 1.0372,                 1.7115,                 1.2557,                0.59617,                0.50184,                0.49388,                0.31003,                 1.2157,                 1.7231,                 1.4247,             0.00037985,             0.00037985,             0.00037985
                     11,                 1.0069,                 1.6121,                 1.2467,                0.61426,                0.51585,                0.50929,                0.31979,                 1.2071,                 1.6987,                 1.4048,             0.00037572,             0.00037572,             0.00037572
                     12,                 0.9999,                 1.5692,                 1.2334,                0.60484,                0.48141,                0.48998,                0.30983,                 1.1879,                 1.7745,                 1.4043,             0.00037159,             0.00037159,             0.00037159
                     13,                0.99774,                 1.5611,                 1.2364,                0.57609,                0.51792,                 0.5041,                0.31445,                 1.1939,                 1.6916,                 1.4008,             0.00036746,             0.00036746,             0.00036746
