                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75258,                0.87253,                 1.1201,                0.69535,                0.54855,                0.60133,                0.41334,                 1.1716,                 1.3755,                 1.4328,             0.00013795,             0.00013795,             0.00013795
                      2,                  0.741,                0.83163,                  1.115,                0.67752,                0.54076,                 0.5836,                0.39571,                 1.2025,                 1.4228,                 1.4487,             0.00027421,             0.00027421,             0.00027421
                      3,                0.77694,                 0.8716,                 1.1321,                0.65125,                0.52515,                0.56848,                0.38226,                 1.2244,                 1.4612,                 1.4488,             0.00040772,             0.00040772,             0.00040772
                      4,                0.80448,                0.89486,                 1.1408,                0.66742,                0.53566,                0.57603,                0.38952,                  1.212,                 1.4246,                 1.4432,             0.00040462,             0.00040462,             0.00040462
                      5,                 0.7842,                 0.8611,                 1.1354,                0.68802,                0.51302,                0.56892,                0.38207,                 1.2252,                 1.4752,                 1.4584,             0.00040049,             0.00040049,             0.00040049
                      6,                0.78906,                0.87877,                 1.1358,                0.65671,                0.53409,                0.57549,                0.38211,                  1.241,                 1.4718,                 1.4753,             0.00039636,             0.00039636,             0.00039636
                      7,                0.79459,                0.87347,                  1.135,                0.67787,                0.53545,                0.58586,                0.39534,                 1.2164,                 1.4071,                 1.4467,             0.00039223,             0.00039223,             0.00039223
                      8,                0.78934,                0.86344,                 1.1297,                0.66167,                0.53367,                 0.5682,                0.38053,                  1.219,                 1.4802,                 1.4642,              0.0003881,              0.0003881,              0.0003881
                      9,                0.76363,                0.83536,                 1.1192,                0.67982,                0.53726,                0.57979,                0.38629,                 1.2315,                 1.4824,                 1.4727,             0.00038397,             0.00038397,             0.00038397
                     10,                0.77773,                0.83971,                 1.1212,                0.67356,                0.52086,                0.56792,                0.37915,                 1.2221,                  1.473,                  1.456,             0.00037985,             0.00037985,             0.00037985
                     11,                0.76901,                0.83958,                 1.1163,                 0.6827,                0.52645,                0.56754,                0.37592,                 1.2391,                 1.4941,                 1.4744,             0.00037572,             0.00037572,             0.00037572
                     12,                0.76748,                0.83758,                 1.1141,                0.68254,                0.52665,                0.57724,                0.38721,                  1.236,                 1.4637,                 1.4662,             0.00037159,             0.00037159,             0.00037159
                     13,                0.76109,                0.82733,                 1.1183,                0.66935,                 0.5287,                0.56708,                 0.3789,                 1.2293,                 1.4891,                  1.477,             0.00036746,             0.00036746,             0.00036746
                     14,                0.75478,                0.81506,                 1.1089,                0.67754,                0.52776,                0.57376,                0.38029,                 1.2308,                 1.4536,                 1.4798,             0.00036333,             0.00036333,             0.00036333
                     15,                0.75712,                0.81967,                  1.109,                0.68061,                0.54246,                0.58605,                0.39514,                  1.213,                 1.4175,                 1.4494,              0.0003592,              0.0003592,              0.0003592
                     16,                0.75963,                0.81262,                 1.1135,                0.67175,                0.53513,                0.57982,                0.38973,                 1.2319,                 1.4699,                 1.4676,             0.00035508,             0.00035508,             0.00035508
                     17,                0.74546,                  0.797,                 1.1041,                0.66159,                0.53442,                 0.5711,                0.38494,                 1.2164,                 1.4567,                 1.4519,             0.00035095,             0.00035095,             0.00035095
                     18,                0.74243,                0.76926,                 1.0998,                0.66852,                0.53614,                0.57067,                0.38211,                 1.2227,                 1.4954,                 1.4674,             0.00034682,             0.00034682,             0.00034682
                     19,                 0.7524,                0.78235,                 1.1063,                 0.6853,                0.52956,                0.58398,                0.39392,                 1.2149,                 1.5344,                 1.4548,             0.00034269,             0.00034269,             0.00034269
                     20,                0.73906,                 0.7834,                 1.1061,                0.67446,                0.52792,                0.56307,                0.37691,                 1.2329,                 1.5307,                 1.4799,             0.00033856,             0.00033856,             0.00033856
                     21,                0.73093,                 0.7752,                  1.096,                0.67416,                0.55103,                0.58856,                0.39959,                 1.2166,                 1.4724,                 1.4567,             0.00033443,             0.00033443,             0.00033443
                     22,                0.72958,                0.77556,                 1.0953,                0.68778,                0.53337,                0.57713,                 0.3887,                 1.2123,                 1.4541,                 1.4563,             0.00033031,             0.00033031,             0.00033031
                     23,                0.75221,                  0.771,                 1.1006,                0.69535,                 0.5325,                0.58615,                0.39861,                 1.2114,                 1.4893,                 1.4653,             0.00032618,             0.00032618,             0.00032618
                     24,                0.72446,                0.76639,                 1.0966,                0.69207,                0.52705,                0.57714,                0.38619,                 1.2278,                 1.4469,                 1.4734,             0.00032205,             0.00032205,             0.00032205
                     25,                0.72466,                 0.7497,                 1.0913,                0.68965,                0.54253,                0.59049,                0.39908,                 1.2083,                 1.4447,                 1.4496,             0.00031792,             0.00031792,             0.00031792
                     26,                0.72449,                0.73432,                 1.0896,                0.66006,                0.53454,                0.57366,                0.38567,                 1.2365,                 1.5669,                 1.4937,             0.00031379,             0.00031379,             0.00031379
                     27,                 0.7193,                0.74776,                 1.0895,                0.67865,                0.54468,                0.58808,                  0.399,                  1.216,                 1.4456,                 1.4645,             0.00030966,             0.00030966,             0.00030966
                     28,                0.71353,                0.73254,                 1.0805,                0.70018,                0.53092,                0.59059,                0.40412,                 1.2026,                 1.4831,                  1.445,             0.00030554,             0.00030554,             0.00030554
                     29,                0.71741,                0.74244,                 1.0874,                0.68913,                0.53266,                0.57992,                0.39558,                 1.2152,                 1.5173,                 1.4548,             0.00030141,             0.00030141,             0.00030141
                     30,                0.70796,                 0.7212,                 1.0773,                0.67993,                0.53465,                 0.5816,                0.39588,                 1.2084,                 1.5319,                 1.4622,             0.00029728,             0.00029728,             0.00029728
                     31,                0.71848,                0.73108,                 1.0856,                0.68003,                0.54256,                0.58767,                0.39797,                 1.2023,                 1.4408,                 1.4544,             0.00029315,             0.00029315,             0.00029315
                     32,                0.69896,                0.72377,                 1.0792,                0.69433,                0.53719,                0.58433,                0.39229,                 1.2191,                  1.467,                 1.4681,             0.00028902,             0.00028902,             0.00028902
                     33,                 0.6968,                 0.7102,                 1.0774,                0.69507,                0.53327,                0.58603,                0.39873,                 1.2068,                 1.5363,                 1.4588,             0.00028489,             0.00028489,             0.00028489
                     34,                0.70275,                0.69947,                 1.0775,                0.68165,                 0.5361,                0.58019,                 0.3914,                 1.2284,                  1.582,                 1.4935,             0.00028077,             0.00028077,             0.00028077
                     35,                 0.7034,                0.69683,                 1.0725,                0.70754,                0.53538,                0.58558,                0.39392,                 1.2271,                 1.4668,                  1.478,             0.00027664,             0.00027664,             0.00027664
                     36,                0.68268,                0.68375,                 1.0698,                0.69469,                0.53786,                0.58151,                0.39086,                 1.2281,                 1.4958,                 1.4795,             0.00027251,             0.00027251,             0.00027251
                     37,                0.70563,                0.70172,                 1.0733,                0.68154,                0.54277,                0.58145,                0.39097,                 1.2239,                 1.4875,                 1.4882,             0.00026838,             0.00026838,             0.00026838
                     38,                0.67879,                0.68397,                 1.0657,                0.69234,                0.54545,                 0.5977,                0.40592,                 1.2073,                  1.474,                 1.4591,             0.00026425,             0.00026425,             0.00026425
                     39,                0.69425,                0.67995,                   1.07,                0.71835,                0.52227,                0.58487,                0.39663,                 1.2235,                 1.5241,                  1.478,             0.00026012,             0.00026012,             0.00026012
                     40,                0.68176,                0.67364,                 1.0628,                0.69179,                0.53467,                0.58932,                0.40411,                 1.2097,                  1.562,                 1.4659,               0.000256,               0.000256,               0.000256
                     41,                0.68324,                0.66586,                 1.0596,                0.69565,                 0.5344,                0.58048,                0.39361,                 1.2253,                 1.5036,                 1.4833,             0.00025187,             0.00025187,             0.00025187
                     42,                  0.661,                0.66346,                 1.0559,                0.69393,                 0.5402,                0.58694,                0.39799,                 1.2119,                 1.4996,                 1.4684,             0.00024774,             0.00024774,             0.00024774
                     43,                0.66837,                0.66024,                 1.0643,                0.69396,                0.54025,                0.58979,                0.40135,                 1.2115,                 1.5455,                  1.466,             0.00024361,             0.00024361,             0.00024361
                     44,                0.66763,                0.65864,                 1.0584,                0.71001,                0.54329,                0.59451,                0.40396,                 1.2006,                 1.4465,                 1.4617,             0.00023948,             0.00023948,             0.00023948
                     45,                0.65749,                 0.6556,                 1.0523,                0.70303,                0.53215,                0.58879,                0.40062,                 1.2127,                 1.4823,                 1.4654,             0.00023535,             0.00023535,             0.00023535
                     46,                0.65306,                0.65344,                 1.0492,                0.69906,                0.54102,                0.59315,                0.40526,                 1.2135,                  1.516,                 1.4662,             0.00023123,             0.00023123,             0.00023123
                     47,                0.65999,                0.65352,                 1.0505,                0.70373,                0.53642,                0.58572,                0.39859,                 1.2226,                 1.5136,                 1.4732,              0.0002271,              0.0002271,              0.0002271
                     48,                0.65995,                0.63962,                 1.0491,                0.68444,                0.54964,                0.58779,                0.40177,                 1.2077,                 1.5169,                 1.4695,             0.00022297,             0.00022297,             0.00022297
                     49,                0.64746,                0.62832,                 1.0467,                0.69573,                0.53701,                0.59552,                0.40802,                 1.2111,                 1.5348,                 1.4687,             0.00021884,             0.00021884,             0.00021884
                     50,                0.65306,                0.65082,                 1.0481,                0.68752,                0.52638,                0.57789,                0.39391,                 1.2252,                 1.6054,                 1.4763,             0.00021471,             0.00021471,             0.00021471
                     51,                0.64986,                0.63735,                 1.0509,                0.69918,                0.52232,                0.57905,                0.39213,                 1.2419,                 1.5962,                 1.5133,             0.00021059,             0.00021059,             0.00021059
                     52,                0.66165,                0.63203,                 1.0465,                0.69779,                0.53881,                0.58972,                0.40128,                 1.2238,                 1.5169,                 1.4929,             0.00020646,             0.00020646,             0.00020646
                     53,                0.65043,                0.63693,                 1.0479,                0.70201,                0.52668,                0.58189,                0.39822,                 1.2294,                 1.5916,                 1.4945,             0.00020233,             0.00020233,             0.00020233
                     54,                0.64964,                0.62529,                 1.0478,                0.70372,                0.53267,                0.58534,                0.40005,                  1.221,                 1.5382,                 1.4824,              0.0001982,              0.0001982,              0.0001982
                     55,                0.63777,                0.61838,                 1.0396,                0.67922,                0.54513,                0.59199,                0.40733,                 1.2084,                 1.5285,                 1.4769,             0.00019407,             0.00019407,             0.00019407
                     56,                0.63416,                0.61621,                 1.0392,                0.70799,                0.53803,                 0.5976,                0.41291,                 1.2128,                 1.5757,                 1.4855,             0.00018994,             0.00018994,             0.00018994
                     57,                0.63811,                0.61389,                 1.0402,                0.68994,                0.54531,                0.58952,                0.40325,                 1.2185,                 1.5247,                 1.4828,             0.00018582,             0.00018582,             0.00018582
                     58,                0.63202,                0.59928,                 1.0301,                0.68433,                0.53774,                0.58732,                0.40247,                 1.2264,                 1.5892,                 1.4891,             0.00018169,             0.00018169,             0.00018169
                     59,                0.64538,                0.62743,                  1.041,                0.70233,                0.53624,                 0.5861,                0.40045,                 1.2105,                 1.5347,                 1.4843,             0.00017756,             0.00017756,             0.00017756
                     60,                0.61948,                0.60022,                 1.0385,                0.69634,                0.53874,                0.59142,                0.40563,                 1.2153,                 1.5692,                 1.4952,             0.00017343,             0.00017343,             0.00017343
                     61,                0.62123,                0.59912,                 1.0258,                0.68812,                0.54288,                0.58667,                0.40033,                 1.2158,                 1.5568,                 1.4897,              0.0001693,              0.0001693,              0.0001693
                     62,                0.63135,                0.59967,                 1.0342,                 0.6906,                0.55126,                 0.5963,                0.40703,                 1.2068,                 1.5097,                 1.4686,             0.00016517,             0.00016517,             0.00016517
                     63,                0.62806,                0.59381,                 1.0318,                0.70403,                 0.5433,                0.59906,                0.41003,                   1.22,                  1.573,                 1.4999,             0.00016105,             0.00016105,             0.00016105
                     64,                0.62315,                0.59818,                 1.0316,                0.72176,                0.53405,                0.59678,                0.40848,                 1.2157,                  1.561,                 1.4991,             0.00015692,             0.00015692,             0.00015692
                     65,                 0.6243,                0.58257,                 1.0264,                0.70648,                0.54027,                0.59729,                0.41166,                 1.2088,                 1.5827,                 1.4795,             0.00015279,             0.00015279,             0.00015279
                     66,                0.61806,                0.58252,                 1.0307,                0.71397,                0.54386,                0.60217,                0.41354,                 1.2116,                  1.529,                 1.4822,             0.00014866,             0.00014866,             0.00014866
                     67,                0.61882,                0.59338,                 1.0299,                0.71348,                0.54114,                0.60096,                0.41302,                 1.2073,                 1.5134,                 1.4836,             0.00014453,             0.00014453,             0.00014453
                     68,                0.61463,                0.58651,                 1.0283,                0.70662,                0.54102,                0.59851,                0.41263,                 1.2089,                 1.5488,                 1.4845,              0.0001404,              0.0001404,              0.0001404
                     69,                0.61057,                0.57192,                 1.0258,                0.71376,                0.53836,                0.60333,                0.41447,                 1.2121,                 1.5575,                 1.4821,             0.00013628,             0.00013628,             0.00013628
                     70,                0.61684,                0.57975,                 1.0246,                0.71677,                0.54285,                0.60373,                0.41384,                 1.2103,                 1.5134,                 1.4811,             0.00013215,             0.00013215,             0.00013215
                     71,                0.61666,                 0.5759,                 1.0247,                0.70195,                0.54777,                 0.6022,                0.41456,                 1.2034,                  1.513,                 1.4728,             0.00012802,             0.00012802,             0.00012802
                     72,                0.60287,                0.56946,                 1.0201,                0.71309,                0.53466,                0.59559,                0.40967,                 1.2155,                 1.5774,                 1.4834,             0.00012389,             0.00012389,             0.00012389
                     73,                0.59671,                0.56132,                 1.0161,                0.69886,                0.54636,                0.59869,                0.41093,                 1.2037,                 1.5126,                 1.4768,             0.00011976,             0.00011976,             0.00011976
                     74,                0.60924,                0.57785,                 1.0252,                 0.7111,                0.53503,                 0.5931,                 0.4072,                 1.2145,                 1.5979,                 1.4924,             0.00011563,             0.00011563,             0.00011563
                     75,                0.59766,                0.56007,                 1.0186,                0.70935,                0.53501,                0.59374,                0.41211,                 1.1982,                 1.5461,                 1.4742,             0.00011151,             0.00011151,             0.00011151
                     76,                0.58776,                0.55921,                 1.0143,                0.71754,                0.52992,                0.59251,                0.40845,                   1.21,                 1.5678,                  1.494,             0.00010738,             0.00010738,             0.00010738
                     77,                0.61142,                0.56856,                 1.0206,                0.71237,                0.54367,                0.59523,                0.40931,                 1.2099,                 1.5917,                 1.4908,             0.00010325,             0.00010325,             0.00010325
                     78,                0.58841,                0.55306,                 1.0163,                0.70766,                0.55029,                0.60058,                0.41281,                  1.211,                 1.5375,                  1.491,             9.9121e-05,             9.9121e-05,             9.9121e-05
                     79,                0.60089,                0.56144,                 1.0167,                0.69888,                0.54334,                0.59574,                0.40957,                  1.212,                 1.5767,                  1.486,             9.4993e-05,             9.4993e-05,             9.4993e-05
                     80,                0.59064,                0.55392,                 1.0138,                0.69858,                0.55169,                0.59683,                0.41063,                 1.2093,                 1.5484,                 1.4884,             9.0864e-05,             9.0864e-05,             9.0864e-05
                     81,                0.58945,                0.55908,                 1.0093,                0.71659,                0.53947,                0.60257,                0.41531,                 1.2051,                 1.5571,                  1.487,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     82,                0.58521,                0.54273,                 1.0139,                0.71196,                0.54346,                0.60099,                0.41494,                 1.2073,                 1.5417,                 1.4797,             8.2608e-05,             8.2608e-05,             8.2608e-05
                     83,                0.57675,                0.53083,                 1.0049,                0.71856,                0.53776,                0.59741,                0.41256,                 1.2121,                 1.5915,                 1.4915,             7.8479e-05,             7.8479e-05,             7.8479e-05
                     84,                0.58897,                0.54938,                 1.0073,                0.70594,                0.54307,                0.59719,                0.41325,                 1.2034,                  1.586,                 1.4876,             7.4351e-05,             7.4351e-05,             7.4351e-05
                     85,                  0.587,                0.54237,                 1.0164,                0.72985,                0.53712,                0.59957,                0.41308,                 1.2076,                 1.5647,                 1.4946,             7.0223e-05,             7.0223e-05,             7.0223e-05
                     86,                0.59427,                0.54294,                 1.0154,                0.72734,                0.53452,                0.59939,                 0.4138,                 1.2026,                 1.5503,                  1.478,             6.6095e-05,             6.6095e-05,             6.6095e-05
                     87,                0.57908,                 0.5384,                 1.0127,                0.73167,                0.53216,                0.59931,                0.41582,                 1.2042,                 1.5727,                 1.4845,             6.1966e-05,             6.1966e-05,             6.1966e-05
                     88,                 0.5693,                0.52717,                 1.0031,                0.71442,                0.53903,                0.59861,                0.41464,                 1.2084,                 1.5913,                 1.4928,             5.7838e-05,             5.7838e-05,             5.7838e-05
                     89,                0.56783,                0.52799,                 1.0051,                0.71245,                0.53637,                0.59752,                0.41231,                 1.2121,                  1.586,                 1.4915,              5.371e-05,              5.371e-05,              5.371e-05
