                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58395,                0.61258,                  1.027,                0.67866,                0.50708,                0.55929,                0.38894,                 1.2338,                 2.1552,                 1.4874,             0.00013826,             0.00013826,             0.00013826
                      2,                0.61763,                0.66752,                 1.0469,                0.64012,                0.48808,                0.52921,                0.35709,                 1.2935,                 2.1337,                 1.5642,             0.00027451,             0.00027451,             0.00027451
                      3,                0.64909,                0.73058,                 1.0598,                0.65174,                0.48235,                0.52408,                0.35413,                 1.2926,                 1.9562,                  1.556,             0.00040801,             0.00040801,             0.00040801
                      4,                 0.6871,                0.78484,                 1.0806,                0.63478,                0.47945,                0.50109,                0.33101,                  1.322,                 1.9444,                 1.5839,             0.00040462,             0.00040462,             0.00040462
                      5,                0.69932,                0.80192,                 1.0893,                0.65207,                0.48744,                0.52632,                0.34752,                 1.3234,                 1.8942,                 1.5615,             0.00040049,             0.00040049,             0.00040049
                      6,                0.71295,                 0.8051,                 1.1005,                0.64025,                0.49728,                0.53297,                 0.3547,                  1.309,                 1.8822,                 1.5522,             0.00039636,             0.00039636,             0.00039636
                      7,                0.70244,                0.81234,                 1.1036,                0.63591,                0.48657,                0.51086,                0.33807,                 1.3212,                 1.9699,                 1.5806,             0.00039223,             0.00039223,             0.00039223
                      8,                0.69679,                0.79137,                 1.0968,                0.63924,                0.48963,                 0.5262,                0.35246,                 1.2979,                 1.8325,                  1.522,              0.0003881,              0.0003881,              0.0003881
                      9,                0.69768,                0.80686,                 1.0965,                0.65022,                 0.5118,                0.54926,                0.36788,                  1.284,                 1.7787,                 1.5325,             0.00038397,             0.00038397,             0.00038397
                     10,                0.69854,                0.79906,                 1.0863,                0.64386,                 0.4995,                0.54166,                0.36015,                 1.2976,                 1.8076,                 1.5401,             0.00037985,             0.00037985,             0.00037985
                     11,                0.70166,                0.79784,                 1.0981,                0.66019,                0.49714,                0.54314,                0.35867,                 1.2989,                 1.8357,                 1.5402,             0.00037572,             0.00037572,             0.00037572
                     12,                 0.6925,                0.78403,                 1.0837,                0.65633,                0.50891,                0.55308,                0.36776,                 1.2928,                 1.6891,                 1.5378,             0.00037159,             0.00037159,             0.00037159
                     13,                0.69943,                0.78959,                 1.0876,                0.64902,                 0.5011,                0.53607,                0.35577,                 1.2983,                 1.7834,                 1.5521,             0.00036746,             0.00036746,             0.00036746
                     14,                0.69232,                0.78082,                 1.0853,                0.64495,                0.51151,                0.54767,                0.36727,                 1.2934,                 1.7105,                 1.5354,             0.00036333,             0.00036333,             0.00036333
                     15,                0.68807,                0.77723,                 1.0907,                0.64472,                0.48558,                0.52885,                0.35231,                  1.304,                 1.8768,                 1.5413,              0.0003592,              0.0003592,              0.0003592
                     16,                0.68903,                0.77094,                 1.0806,                0.65651,                 0.4939,                 0.5351,                0.35246,                 1.3092,                 1.7675,                 1.5692,             0.00035508,             0.00035508,             0.00035508
                     17,                0.68634,                0.76494,                 1.0767,                0.63641,                0.50516,                0.53864,                0.35873,                 1.2885,                  1.791,                   1.54,             0.00035095,             0.00035095,             0.00035095
                     18,                0.69152,                 0.7662,                 1.0859,                0.63875,                0.51352,                0.54384,                0.36452,                 1.2921,                 1.8459,                 1.5402,             0.00034682,             0.00034682,             0.00034682
                     19,                0.68768,                0.76945,                 1.0837,                0.64932,                0.48343,                0.52475,                0.34875,                 1.3309,                 2.0256,                 1.5881,             0.00034269,             0.00034269,             0.00034269
                     20,                0.67294,                0.74289,                 1.0748,                0.63204,                0.50362,                0.53661,                0.35989,                 1.2965,                 1.8678,                  1.556,             0.00033856,             0.00033856,             0.00033856
                     21,                0.68253,                0.73829,                  1.081,                0.64335,                 0.4925,                0.53253,                0.35705,                 1.3046,                 1.9206,                  1.565,             0.00033443,             0.00033443,             0.00033443
                     22,                  0.669,                0.73561,                  1.074,                0.66789,                0.50405,                0.55326,                0.37195,                 1.2865,                 1.8435,                 1.5284,             0.00033031,             0.00033031,             0.00033031
                     23,                0.69113,                0.74248,                 1.0903,                0.64924,                0.51357,                0.55422,                0.37324,                 1.2909,                 1.8502,                 1.5378,             0.00032618,             0.00032618,             0.00032618
                     24,                0.67807,                0.76189,                 1.0883,                0.64117,                0.50032,                0.54046,                0.36221,                 1.3037,                 1.9755,                 1.5661,             0.00032205,             0.00032205,             0.00032205
                     25,                0.66956,                0.72312,                 1.0717,                0.65269,                0.51307,                 0.5576,                0.38041,                 1.2767,                 1.8659,                 1.5264,             0.00031792,             0.00031792,             0.00031792
                     26,                0.66375,                0.71882,                 1.0766,                0.65525,                0.50599,                0.54697,                0.36828,                 1.2815,                 1.8816,                 1.5482,             0.00031379,             0.00031379,             0.00031379
                     27,                  0.653,                0.70208,                 1.0669,                0.66092,                0.50037,                0.54425,                0.36608,                 1.2872,                 1.9475,                 1.5358,             0.00030966,             0.00030966,             0.00030966
                     28,                0.65221,                0.69759,                 1.0622,                 0.6529,                0.51843,                0.56131,                0.37745,                 1.2689,                 1.7612,                 1.5344,             0.00030554,             0.00030554,             0.00030554
                     29,                0.66617,                0.71216,                 1.0685,                0.68334,                 0.5034,                0.55574,                0.37555,                 1.2668,                 1.8121,                  1.533,             0.00030141,             0.00030141,             0.00030141
                     30,                0.65684,                0.70933,                 1.0603,                0.66211,                0.50804,                0.55361,                0.37553,                 1.2871,                 1.8143,                 1.5487,             0.00029728,             0.00029728,             0.00029728
                     31,                0.66311,                0.72418,                 1.0661,                0.65338,                0.52354,                0.56886,                0.38466,                 1.2624,                 1.7567,                 1.5079,             0.00029315,             0.00029315,             0.00029315
                     32,                0.64672,                0.70054,                 1.0634,                0.63708,                0.51211,                  0.545,                0.36827,                 1.2687,                 1.8879,                 1.5296,             0.00028902,             0.00028902,             0.00028902
                     33,                 0.6537,                0.72517,                 1.0701,                0.64699,                0.51883,                0.55993,                0.38126,                 1.2547,                 1.7738,                 1.5155,             0.00028489,             0.00028489,             0.00028489
                     34,                0.64701,                0.69085,                 1.0594,                0.68369,                0.51227,                0.56311,                  0.383,                 1.2653,                 1.7657,                 1.5162,             0.00028077,             0.00028077,             0.00028077
                     35,                0.64107,                0.67936,                 1.0557,                 0.6615,                0.50663,                0.54704,                 0.3728,                 1.2648,                 1.9568,                 1.5278,             0.00027664,             0.00027664,             0.00027664
                     36,                0.63981,                0.66747,                 1.0566,                0.66466,                0.50667,                0.55429,                0.37695,                 1.2591,                 1.8384,                 1.5177,             0.00027251,             0.00027251,             0.00027251
                     37,                0.63881,                0.67424,                 1.0621,                0.66618,                 0.5077,                 0.5558,                 0.3776,                 1.2648,                 1.8426,                 1.5177,             0.00026838,             0.00026838,             0.00026838
                     38,                0.62317,                0.66022,                 1.0503,                0.63252,                0.50873,                0.53985,                0.36721,                 1.2824,                 2.0441,                 1.5504,             0.00026425,             0.00026425,             0.00026425
                     39,                0.62314,                0.66966,                 1.0508,                0.67816,                0.50267,                0.55472,                0.37996,                 1.2755,                  1.901,                 1.5376,             0.00026012,             0.00026012,             0.00026012
                     40,                0.63447,                 0.6571,                 1.0468,                0.65929,                0.51246,                0.55077,                0.37607,                 1.2592,                 1.9145,                  1.524,               0.000256,               0.000256,               0.000256
                     41,                0.63908,                0.66352,                 1.0521,                0.67821,                0.52215,                0.56849,                0.38876,                 1.2611,                 1.8151,                 1.5241,             0.00025187,             0.00025187,             0.00025187
                     42,                0.62318,                0.66864,                 1.0473,                0.64586,                0.51544,                0.54743,                0.37309,                 1.2659,                 1.8581,                 1.5258,             0.00024774,             0.00024774,             0.00024774
                     43,                0.62419,                0.64799,                 1.0435,                0.65856,                0.51542,                0.55485,                0.37986,                 1.2587,                 1.8549,                 1.5407,             0.00024361,             0.00024361,             0.00024361
                     44,                0.61414,                0.63552,                 1.0408,                0.67733,                0.52572,                 0.5729,                0.39176,                 1.2475,                 1.7483,                 1.5074,             0.00023948,             0.00023948,             0.00023948
                     45,                0.62159,                0.64263,                 1.0487,                0.66584,                0.51053,                0.55211,                0.37624,                 1.2755,                 2.0448,                 1.5451,             0.00023535,             0.00023535,             0.00023535
                     46,                0.61385,                0.63071,                  1.043,                 0.6639,                0.51502,                0.55841,                0.38191,                 1.2763,                 1.9082,                 1.5428,             0.00023123,             0.00023123,             0.00023123
                     47,                0.61714,                0.63022,                 1.0473,                0.66794,                0.51763,                0.56359,                0.38511,                 1.2698,                  1.855,                 1.5358,              0.0002271,              0.0002271,              0.0002271
                     48,                0.61061,                0.63044,                 1.0377,                0.65232,                0.50608,                0.54478,                 0.3708,                 1.2881,                 1.9662,                 1.5594,             0.00022297,             0.00022297,             0.00022297
                     49,                0.60908,                0.63295,                 1.0452,                 0.6531,                 0.5132,                0.55559,                0.38249,                  1.258,                 1.9248,                 1.5115,             0.00021884,             0.00021884,             0.00021884
                     50,                0.59657,                0.60495,                 1.0257,                0.66581,                0.51978,                0.56182,                0.38632,                 1.2557,                 1.8606,                 1.5344,             0.00021471,             0.00021471,             0.00021471
                     51,                0.59801,                0.61016,                 1.0348,                 0.6604,                0.51497,                0.55099,                0.37657,                 1.2815,                 2.0054,                 1.5572,             0.00021059,             0.00021059,             0.00021059
                     52,                0.60365,                0.61385,                 1.0382,                0.66825,                0.50729,                0.55695,                0.38176,                 1.2771,                 2.0145,                 1.5424,             0.00020646,             0.00020646,             0.00020646
                     53,                0.60717,                0.61056,                 1.0308,                0.67864,                0.51182,                0.56385,                0.38888,                 1.2476,                 1.8694,                 1.5141,             0.00020233,             0.00020233,             0.00020233
                     54,                0.59488,                  0.609,                 1.0336,                0.66163,                0.51838,                 0.5613,                0.38482,                 1.2548,                 1.9284,                 1.5251,              0.0001982,              0.0001982,              0.0001982
                     55,                0.59706,                0.59807,                 1.0315,                0.65404,                0.52178,                0.56543,                0.38757,                 1.2551,                  1.898,                   1.53,             0.00019407,             0.00019407,             0.00019407
                     56,                0.59485,                0.59419,                   1.03,                0.68348,                0.50984,                0.56487,                0.38846,                 1.2633,                 1.9414,                 1.5247,             0.00018994,             0.00018994,             0.00018994
                     57,                0.57946,                0.59561,                  1.021,                0.67542,                0.51407,                0.56725,                 0.3929,                 1.2521,                 1.9969,                 1.5212,             0.00018582,             0.00018582,             0.00018582
                     58,                 0.5882,                0.58586,                 1.0223,                0.68552,                0.50228,                0.56103,                 0.3844,                 1.2755,                 1.9407,                 1.5488,             0.00018169,             0.00018169,             0.00018169
                     59,                0.57967,                  0.585,                 1.0209,                0.67381,                0.51986,                0.56528,                0.38948,                 1.2557,                 1.9499,                 1.5204,             0.00017756,             0.00017756,             0.00017756
                     60,                 0.5907,                0.59563,                 1.0266,                0.69171,                0.50765,                0.56513,                0.38779,                 1.2516,                  1.842,                 1.5242,             0.00017343,             0.00017343,             0.00017343
                     61,                0.58257,                0.57005,                  1.015,                 0.6776,                0.51705,                0.57109,                0.39646,                 1.2581,                 2.0088,                 1.5245,              0.0001693,              0.0001693,              0.0001693
                     62,                 0.5815,                0.57502,                 1.0216,                0.67842,                0.50694,                0.56097,                0.38727,                 1.2623,                 1.9629,                 1.5325,             0.00016517,             0.00016517,             0.00016517
                     63,                0.57402,                0.57307,                 1.0175,                0.67905,                0.51733,                0.56826,                0.39484,                 1.2542,                 2.0182,                 1.5193,             0.00016105,             0.00016105,             0.00016105
                     64,                0.58005,                0.56578,                 1.0165,                0.67348,                0.52267,                0.56888,                0.39287,                 1.2443,                 1.8738,                 1.5236,             0.00015692,             0.00015692,             0.00015692
                     65,                0.58247,                 0.5713,                 1.0178,                0.66925,                0.51473,                0.56334,                0.39199,                 1.2487,                 1.9811,                 1.5242,             0.00015279,             0.00015279,             0.00015279
                     66,                0.57556,                0.56734,                 1.0191,                0.67305,                0.51023,                0.56393,                0.39115,                 1.2678,                 1.9828,                   1.54,             0.00014866,             0.00014866,             0.00014866
                     67,                0.56446,                0.55995,                 1.0132,                0.67949,                0.50735,                0.56445,                0.39273,                 1.2591,                 2.0884,                 1.5288,             0.00014453,             0.00014453,             0.00014453
                     68,                0.56594,                0.54978,                 1.0108,                0.68697,                0.51218,                0.57176,                0.39911,                  1.251,                 2.0663,                 1.5112,              0.0001404,              0.0001404,              0.0001404
                     69,                0.58039,                0.56258,                 1.0193,                0.67217,                0.51023,                0.56541,                0.39257,                 1.2511,                 2.0243,                 1.5278,             0.00013628,             0.00013628,             0.00013628
                     70,                 0.5654,                0.54401,                 1.0062,                0.66974,                 0.5199,                0.57039,                0.39214,                 1.2727,                 2.0385,                  1.561,             0.00013215,             0.00013215,             0.00013215
