                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62316,                 0.7323,                 1.0639,                0.61987,                0.47384,                0.51114,                0.34782,                 1.2611,                 1.8851,                 1.5095,             0.00013825,             0.00013825,             0.00013825
                      2,                0.62769,                0.74027,                 1.0622,                 0.6188,                0.46059,                0.49612,                0.32942,                 1.2879,                  1.981,                 1.5334,              0.0002745,              0.0002745,              0.0002745
                      3,                0.64273,                0.77956,                  1.074,                0.62459,                 0.4519,                0.50294,                0.33881,                  1.287,                 1.9461,                 1.5301,             0.00040801,             0.00040801,             0.00040801
                      4,                0.66083,                0.82177,                 1.0851,                0.63387,                0.44823,                0.49271,                 0.3277,                 1.3039,                 1.8609,                 1.5337,             0.00040462,             0.00040462,             0.00040462
                      5,                0.66566,                0.82551,                 1.0807,                0.61237,                0.44657,                0.48061,                0.31274,                  1.338,                 1.9313,                 1.6005,             0.00040049,             0.00040049,             0.00040049
                      6,                0.67613,                0.82054,                 1.0954,                0.61899,                0.45404,                0.48393,                0.32288,                 1.3101,                 1.9741,                  1.551,             0.00039636,             0.00039636,             0.00039636
                      7,                0.66626,                0.81663,                 1.0933,                0.60104,                  0.463,                0.47997,                0.31743,                 1.3376,                 1.9565,                 1.5595,             0.00039223,             0.00039223,             0.00039223
                      8,                0.66907,                0.80904,                 1.0838,                0.60598,                0.44773,                0.48071,                0.32106,                 1.3204,                 2.0239,                  1.557,              0.0003881,              0.0003881,              0.0003881
                      9,                0.65558,                0.82103,                 1.0807,                 0.6099,                0.44179,                0.46915,                0.30644,                 1.3275,                 1.9763,                 1.5679,             0.00038397,             0.00038397,             0.00038397
                     10,                0.66572,                0.81589,                 1.0871,                0.60793,                0.46068,                0.48882,                0.32217,                 1.3255,                 1.9231,                 1.5831,             0.00037985,             0.00037985,             0.00037985
                     11,                 0.6641,                0.79188,                 1.0929,                0.61349,                 0.4417,                0.48127,                0.32371,                 1.3042,                 1.9808,                  1.544,             0.00037572,             0.00037572,             0.00037572
                     12,                0.66744,                0.80366,                 1.0896,                0.63971,                0.44273,                0.49163,                0.32681,                 1.3003,                 1.8533,                 1.5395,             0.00037159,             0.00037159,             0.00037159
                     13,                0.65238,                0.77958,                 1.0794,                0.62397,                0.45972,                0.49478,                0.32663,                 1.3098,                 1.8662,                 1.5613,             0.00036746,             0.00036746,             0.00036746
                     14,                0.64603,                0.77692,                  1.077,                0.62079,                0.43334,                0.46623,                0.30645,                   1.36,                 2.1901,                 1.6185,             0.00036333,             0.00036333,             0.00036333
                     15,                0.64849,                0.77682,                 1.0817,                0.63032,                0.45409,                0.49197,                0.32819,                 1.3184,                 2.0378,                 1.5774,              0.0003592,              0.0003592,              0.0003592
                     16,                0.64848,                0.75696,                 1.0793,                0.63003,                0.44705,                0.48105,                0.32602,                 1.3009,                 2.1482,                 1.5501,             0.00035508,             0.00035508,             0.00035508
                     17,                0.63972,                0.75828,                 1.0677,                 0.6232,                0.45733,                0.49445,                0.33147,                 1.3012,                 1.9865,                 1.5517,             0.00035095,             0.00035095,             0.00035095
                     18,                0.62603,                0.75293,                 1.0682,                0.63091,                  0.447,                0.48634,                 0.3186,                 1.3258,                 2.0294,                 1.5859,             0.00034682,             0.00034682,             0.00034682
                     19,                0.62372,                0.73804,                  1.064,                0.63862,                0.45219,                0.49089,                0.31943,                   1.34,                 1.9429,                 1.6091,             0.00034269,             0.00034269,             0.00034269
                     20,                0.61492,                0.72549,                 1.0597,                0.61886,                0.47336,                0.50789,                 0.3425,                 1.2826,                 1.8577,                  1.538,             0.00033856,             0.00033856,             0.00033856
                     21,                0.62326,                 0.7202,                 1.0629,                0.62781,                0.44559,                0.48945,                0.32351,                 1.3079,                 2.0871,                 1.5529,             0.00033443,             0.00033443,             0.00033443
                     22,                0.62928,                0.73885,                  1.065,                 0.6375,                0.45077,                0.49394,                0.33386,                 1.2972,                 2.0596,                 1.5395,             0.00033031,             0.00033031,             0.00033031
                     23,                 0.6208,                0.71912,                 1.0594,                 0.6505,                 0.4493,                 0.4951,                0.33142,                 1.2879,                 1.9642,                 1.5518,             0.00032618,             0.00032618,             0.00032618
                     24,                0.62165,                0.71155,                 1.0592,                 0.6111,                0.45063,                0.48257,                0.32456,                 1.2994,                 2.0843,                  1.567,             0.00032205,             0.00032205,             0.00032205
                     25,                0.61881,                0.71151,                 1.0639,                0.63312,                0.45589,                0.49612,                0.33438,                 1.2937,                  2.037,                 1.5563,             0.00031792,             0.00031792,             0.00031792
                     26,                0.61433,                0.71513,                 1.0591,                0.63284,                0.45994,                0.50152,                0.33781,                  1.294,                 1.9734,                 1.5494,             0.00031379,             0.00031379,             0.00031379
